,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
976,976,19.56645819337585,2026-03-03 00:40:22.308651,2026-03-03 00:52:30.757896,0 days 00:12:08.449245,0.2119583263501983,0.6852979080555045,0.024909348054009104,0.9781619724942557,0.5038548389279054,0.5394835847433836,1.0024618246507184,0.07587015848770047,2.2024602089856233,0.7806418656724801,0.0007109069699929027,1.0448847979179712,0.9772781055875928,COMPLETE
1685,1685,19.614390727683336,2026-03-04 05:33:06.226027,2026-03-04 05:45:22.585174,0 days 00:12:16.359147,0.49978061610211777,0.6436715872346771,0.027576619348966297,0.7236586876840491,0.23725551337110015,0.47658600696816983,1.1833541825547704,0.0007564833936891581,10.57294947100096,0.8693805528755306,0.0763689077304271,2.1842148952050193,0.8693238641134136,COMPLETE
807,807,19.624814722917264,2026-03-02 17:18:02.133288,2026-03-02 17:30:22.286959,0 days 00:12:20.153671,0.47363225647144913,0.6773095449380448,0.0005082245490451651,1.136055828058053,0.8416813420820852,0.4877731202232104,1.1678063605279394,0.027958146491290737,2.6712830729787997,0.7910392413164554,0.1448919441445258,1.4860163245906493,0.8494115610489271,COMPLETE
1307,1307,19.72220081575931,2026-03-03 14:26:57.184534,2026-03-03 14:39:01.226532,0 days 00:12:04.041998,0.18722721026184103,0.7395937158966683,0.0014133764774782419,0.8997897221333435,0.41944210453664893,0.49156237916753276,1.3637785584492206,0.10889932584251474,1.9193672348953394,0.8895955635305245,0.1165831755983758,1.1578039149679917,0.2802783011613507,COMPLETE
1819,1819,19.733483912493774,2026-03-04 10:57:26.468745,2026-03-04 11:09:43.925342,0 days 00:12:17.456597,0.4684233686764107,0.673898749743978,0.02782666530939563,0.7357278806639744,0.4824465570387548,0.3909638819414207,1.4730867639388716,0.10907759331702717,2.0644595555972494,0.8881578284205044,0.0006367048060748268,1.2345096108750935,0.891755363866747,COMPLETE
1221,1221,19.73623966411383,2026-03-03 10:36:49.488951,2026-03-03 10:49:02.378177,0 days 00:12:12.889226,0.49998995646431,0.7576586654672558,0.0007963474860187836,0.9978596276225317,0.44136958421608985,0.4954632200135309,1.0011841011492784,0.02810671299085229,2.1264945739642753,0.934107504049245,0.07830616066219821,1.5630140804359307,0.2795921151732811,COMPLETE
1687,1687,19.761753112154278,2026-03-04 05:38:15.676854,2026-03-04 05:50:25.782132,0 days 00:12:10.105278,0.49313260299456063,0.644197711150426,0.025018285766146616,0.7378423471441788,0.44549512763887794,0.4776667611826351,1.0029578214911314,0.0004850071064034287,3.2777629629025187,0.8711467131237303,0.07813938388867067,2.161096193286888,0.8737162503392799,COMPLETE
1879,1879,19.769938710744434,2026-03-04 13:25:47.364535,2026-03-04 13:37:20.177717,0 days 00:11:32.813182,0.10033775933271091,0.7490995261610639,0.0003148163693738386,1.2084065061173264,0.43704774864563034,0.47486850724814117,1.0004509998230475,0.02144496558729418,3.086027465362884,0.9229204060997557,0.029244879494677467,1.804683647097347,0.9368678218979062,COMPLETE
1716,1716,19.799254269490007,2026-03-04 06:47:44.790667,2026-03-04 07:00:02.330105,0 days 00:12:17.539438,0.4698555656641888,0.6870163737927006,0.0006765961220523809,1.1641789609381394,0.4389287303264218,0.4835829008463291,1.3822021114253646,0.05516616393035306,2.147191071777417,0.8708721051109097,0.06619881041105735,1.1821218408581284,0.89845349097389,COMPLETE
1837,1837,19.833950831189576,2026-03-04 11:38:54.334674,2026-03-04 11:51:01.620973,0 days 00:12:07.286299,0.09391875139103614,0.6821081748941464,0.0015617618671815658,1.8697423339183874,0.4713912997111782,0.5181372385743772,1.6008739356276231,0.03523323460689733,1.223935845586097,0.8797332646494084,0.05610996388534191,1.2085859453605572,0.8049617422406057,COMPLETE
